Year,Global middle class population (billions),Demand for Clothing (billions),Demand for t-shirts (2/3 demend for clothing),Demand for jeans (1/3 demand for clothing),,Year,Total Fast Fashion Water Usage,Total Sustainable Fashion Water Usage,,Year,Total Fast Fashion CO2 Emissions,Total Sustainable Fashion CO2 Emissions,,Difference CO2 Emissions (%),Difference Water Usage (%),Year 
2021,4.123,118.542,79.028,39.514,,2021,608515.6,608515.6,,2021,80655.9768,80655.9768,,0%,0%,2021
2022,4.28,123.056,82.037,41.019,,2022,1240205.5,734853.58,,2022,164383.551,126240.9894,,-23%,-41%,2022
2023,4.384,126.046,84.031,42.015,,2023,1887239.2,864260.32,,2023,250144.9776,172933.3217,,-31%,-54%,2023
2024,4.591,131.998,87.999,43.999,,2024,2564826.5,999777.78,,2024,339956.145,221830.5128,,-35%,-61%,2024
2025,4.747,136.483,90.989,45.494,,2025,3265436.8,1139899.84,,2025,432818.9064,272389.1274,,-37%,-65%,2025
2026,4.904,140.997,93.998,46.999,,2026,3989221.4,1284656.76,,2026,528753.2652,324620.056,,-39%,-68%,2026
2027,5.06,145.482,96.988,48.494,,2027,4736029,1434018.28,,2027,627739.218,378512.4081,,-40%,-70%,2027
2028,5.219,150.053,100.035,50.018,,2028,5506303.5,1588073.18,,2028,729835.551,434098.1894,,-41%,-71%,2028
2029,5.369,154.366,102.911,51.455,,2029,6298713.2,1746555.12,,2029,834865.9056,491281.3825,,-41%,-72%,2029
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
