Date (yyyy/mm),Middle class population (billions),Demand for clothing,Demand for t-shirts (2/3 demand for clothing),Demand for jeans (1/3 demand for clothing),,,
2015/01,3.025,91.376,60.917,30.459,,,
2015/06,3.078,92.977,61.985,30.992,,,
2015/10,3.132,94.608,63.072,31.536,,,
2016/01,3.181,96.088,64.059,32.029,,,
2016/06,3.234,97.689,65.126,32.563,,,
2016/10,3.289,99.351,66.234,33.117,,,
2016/12,3.337,100.801,67.201,33.600,,,
2017/05,3.39,102.402,68.268,34.134,,,
2017/10,3.445,104.063,69.375,34.688,,,
2017/12,3.496,105.604,70.403,35.201,,,
2018/05,3.548,107.174,71.449,35.725,,,
2018/09,3.6,108.745,72.497,36.248,,,
2018/12,3.652,110.316,73.544,36.772,,,
2019/05,3.704,111.887,74.591,37.296,,,
2019/09,3.756,113.457,75.638,37.819,,,
2020/01,3.81,115.089,76.726,38.363,,,
2020/05,3.861,116.629,77.753,38.876,,,
2020/08,3.913,118.2,78.800,39.400,,,
2020/12,3.966,119.801,79.867,39.934,,,
2021/05,4.018,121.372,80.915,40.457,,,
2021/08,4.071,122.973,81.982,40.991,,,
2021/12,4.123,124.543,83.029,41.514,,,
2022/05,4.175,126.114,84.076,42.038,,,
2022/09,4.225,127.625,85.083,42.542,,,
2022/12,4.28,129.286,86.191,43.095,,,
2023/05,4.333,130.887,87.258,43.629,,,
2023/09,4.384,132.427,88.285,44.142,,,
2024/01,4.435,133.968,89.312,44.656,,,
2024/05,4.489,135.599,90.399,45.200,,,
2024/08,4.541,137.17,91.447,45.723,,,
2024/12,4.591,138.68,92.453,46.227,,,
2025/05,4.646,140.342,93.561,46.781,,,
2025/08,4.7,141.973,94.649,47.324,,,
2025/12,4.747,143.393,95.595,47.798,,,
2026/05,4.802,145.054,96.703,48.351,,,
2026/09,4.856,146.685,97.790,48.895,,,
2026/12,4.904,148.135,98.757,49.378,,,
2027/04,4.958,149.766,99.844,49.922,,,
2027/09,5.011,151.367,100.911,50.456,,,
2027/12,5.06,152.847,101.898,50.949,,,
2028/04,5.114,154.479,102.986,51.493,,,
2028/08,5.168,156.11,104.073,52.037,,,
2028/11,5.219,157.65,105.100,52.550,,,
2029/04,5.27,159.191,106.127,53.064,,,
2029/08,5.325,160.852,107.235,53.617,,,
2029/12,5.369,162.181,108.121,54.060,,,
,,,,,,,
Type of clothing,CO2 emissions,Water usage,Percentage difference,,,,
Fast fashion cotton t-shirt,408.6,2700,N/A,,,,
Sustainable cotton t-shirt,222.46,540,-46,,,,
Fast fashion pair of jeans,1224,10000,N/A,,,,
Sustainable pair of jeans,666.4,2000,-46,,,,
,,,,,,,
